partition_row_number,customer_id,customer_status,churn_category,churn_reason
59,0925-VYDLG,Churned,Attitude,"Attitude of service provider"
60,0032-PGELS,Churned,Attitude,"Attitude of service provider"
61,3988-RQIXO,Churned,Attitude,"Attitude of service provider"
62,4612-THJBS,Churned,Attitude,"Attitude of service provider"
63,5229-PRWKT,Churned,Attitude,"Attitude of service provider"
64,4140-MUHUG,Churned,Attitude,"Attitude of service provider"
65,4501-EQDRN,Churned,Attitude,"Attitude of service provider"
66,4529-CKBCL,Churned,Attitude,"Attitude of service provider"
67,3186-BAXNB,Churned,Attitude,"Attitude of service provider"
68,4548-SDBKE,Churned,Attitude,"Attitude of service provider"
69,5440-FLBQG,Churned,Attitude,"Attitude of service provider"
70,4143-OOBWZ,Churned,Attitude,"Attitude of service provider"
71,4471-KXAUH,Churned,Attitude,"Attitude of service provider"
72,2898-LSJGD,Churned,Attitude,"Attitude of service provider"
73,4871-JTKJF,Churned,Attitude,"Attitude of service provider"
74,5510-BOIUJ,Churned,Attitude,"Attitude of service provider"
75,2956-GGUCQ,Churned,Attitude,"Attitude of service provider"
76,5442-UTCVD,Churned,Attitude,"Attitude of service provider"
77,3387-VATUS,Churned,Attitude,"Attitude of service provider"
78,3009-JWMPU,Churned,Attitude,"Attitude of service provider"
79,3023-GFLBR,Churned,Attitude,"Attitude of service provider"
80,4877-EVATK,Churned,Attitude,"Attitude of service provider"
81,4369-HTUIF,Churned,Attitude,"Attitude of service provider"
82,4853-RULSV,Churned,Attitude,"Attitude of service provider"
83,4361-JEIVL,Churned,Attitude,"Attitude of service provider"
84,4349-GFQHK,Churned,Attitude,"Attitude of service provider"
85,4086-YQSNZ,Churned,Attitude,"Attitude of service provider"
86,4800-CZMPC,Churned,Attitude,"Attitude of service provider"
87,4797-AXPXK,Churned,Attitude,"Attitude of service provider"
88,3085-QUOZK,Churned,Attitude,"Attitude of service provider"
89,3806-DXQOM,Churned,Attitude,"Attitude of service provider"
90,4701-AHWMW,Churned,Attitude,"Attitude of service provider"
91,4139-SUGLD,Churned,Attitude,"Attitude of service provider"
92,4307-KTUMW,Churned,Attitude,"Attitude of service provider"
93,4021-RQSNY,Churned,Attitude,"Attitude of service provider"
94,3138-BKYAV,Churned,Attitude,"Attitude of service provider"
1,3877-JRJIP,Churned,Attitude,"Attitude of support person"
2,4541-RMRLG,Churned,Attitude,"Attitude of support person"
3,3571-RFHAR,Churned,Attitude,"Attitude of support person"
4,3791-LGQCY,Churned,Attitude,"Attitude of support person"
5,4423-YLHDV,Churned,Attitude,"Attitude of support person"
6,4514-GFCFI,Churned,Attitude,"Attitude of support person"
7,4510-PYUSH,Churned,Attitude,"Attitude of support person"
8,4503-BDXBD,Churned,Attitude,"Attitude of support person"
9,3296-SILRA,Churned,Attitude,"Attitude of support person"
10,5393-RXQSZ,Churned,Attitude,"Attitude of support person"
11,4464-JCOLN,Churned,Attitude,"Attitude of support person"
12,3398-ZOUAA,Churned,Attitude,"Attitude of support person"
13,3866-MDTUB,Churned,Attitude,"Attitude of support person"
14,4116-TZAQJ,Churned,Attitude,"Attitude of support person"
15,4439-JMPMT,Churned,Attitude,"Attitude of support person"
16,3426-NIYYL,Churned,Attitude,"Attitude of support person"
17,4597-NUCQV,Churned,Attitude,"Attitude of support person"
18,3419-SNJJD,Churned,Attitude,"Attitude of support person"
19,5357-TZHPP,Churned,Attitude,"Attitude of support person"
20,3422-LYEPQ,Churned,Attitude,"Attitude of support person"
21,3001-CBHLQ,Churned,Attitude,"Attitude of support person"
22,3669-OYSJI,Churned,Attitude,"Attitude of support person"
23,5057-LCOUI,Churned,Attitude,"Attitude of support person"
24,3884-HCSWG,Churned,Attitude,"Attitude of support person"
25,3521-SYVOR,Churned,Attitude,"Attitude of support person"
26,3247-ZVOUO,Churned,Attitude,"Attitude of support person"
27,4988-IQIGL,Churned,Attitude,"Attitude of support person"
28,4946-EDSEW,Churned,Attitude,"Attitude of support person"
29,4911-BANWH,Churned,Attitude,"Attitude of support person"
30,4902-OHLSK,Churned,Attitude,"Attitude of support person"
31,4897-QSUYC,Churned,Attitude,"Attitude of support person"
32,4237-RLAQD,Churned,Attitude,"Attitude of support person"
33,4143-HHPMK,Churned,Attitude,"Attitude of support person"
34,3585-ISXZP,Churned,Attitude,"Attitude of support person"
35,4390-KYULV,Churned,Attitude,"Attitude of support person"
36,3714-JTVOV,Churned,Attitude,"Attitude of support person"
37,2876-VBBBL,Churned,Attitude,"Attitude of support person"
38,4195-SMMNX,Churned,Attitude,"Attitude of support person"
39,3677-IYRBF,Churned,Attitude,"Attitude of support person"
40,3647-GMGDH,Churned,Attitude,"Attitude of support person"
41,5196-SGOAK,Churned,Attitude,"Attitude of support person"
42,4083-EUGRJ,Churned,Attitude,"Attitude of support person"
43,4597-ELFTS,Churned,Attitude,"Attitude of support person"
44,4822-RVYBB,Churned,Attitude,"Attitude of support person"
45,4160-AMJTL,Churned,Attitude,"Attitude of support person"
46,4818-QIUFN,Churned,Attitude,"Attitude of support person"
47,4818-DRBQT,Churned,Attitude,"Attitude of support person"
48,3834-XUIFC,Churned,Attitude,"Attitude of support person"
49,4817-QRJSX,Churned,Attitude,"Attitude of support person"
50,3070-DVEYC,Churned,Attitude,"Attitude of support person"
51,4592-IWTJI,Churned,Attitude,"Attitude of support person"
52,4587-NUKOX,Churned,Attitude,"Attitude of support person"
53,4184-TJFAN,Churned,Attitude,"Attitude of support person"
54,3207-OYBWH,Churned,Attitude,"Attitude of support person"
55,3900-AQPHZ,Churned,Attitude,"Attitude of support person"
56,5480-HPRRX,Churned,Attitude,"Attitude of support person"
57,4248-HCETZ,Churned,Attitude,"Attitude of support person"
58,4745-LSPLO,Churned,Attitude,"Attitude of support person"
59,3803-KMQFW,Churned,Attitude,"Attitude of support person"
60,3946-MHCZW,Churned,Attitude,"Attitude of support person"
61,4720-VSTSI,Churned,Attitude,"Attitude of support person"
62,3096-IZETN,Churned,Attitude,"Attitude of support person"
63,4701-MLJPN,Churned,Attitude,"Attitude of support person"
64,2886-KEFUM,Churned,Attitude,"Attitude of support person"
65,3494-JCHRQ,Churned,Attitude,"Attitude of support person"
66,4211-MMAZN,Churned,Attitude,"Attitude of support person"
67,3754-DXMRT,Churned,Attitude,"Attitude of support person"
68,3500-RMZLT,Churned,Attitude,"Attitude of support person"
69,4566-GOLUK,Churned,Attitude,"Attitude of support person"
70,5287-QWLKY,Churned,Attitude,"Attitude of support person"
71,5143-WMWOG,Churned,Attitude,"Attitude of support person"
72,3132-TVFDZ,Churned,Attitude,"Attitude of support person"
73,4250-FDVOU,Churned,Attitude,"Attitude of support person"
74,4112-LUEIZ,Churned,Attitude,"Attitude of support person"
75,3143-ILDAL,Churned,Attitude,"Attitude of support person"
76,4285-GYRQC,Churned,Attitude,"Attitude of support person"
77,7780-OTDSO,Churned,Attitude,"Attitude of support person"
78,6142-VSJQO,Churned,Attitude,"Attitude of support person"
79,7384-GHBPI,Churned,Attitude,"Attitude of support person"
80,7112-OPOTK,Churned,Attitude,"Attitude of support person"
81,7638-QVMVY,Churned,Attitude,"Attitude of support person"
82,6770-XUAGN,Churned,Attitude,"Attitude of support person"
83,7470-MCQTK,Churned,Attitude,"Attitude of support person"
84,6769-DYBQN,Churned,Attitude,"Attitude of support person"
85,6689-TCZHQ,Churned,Attitude,"Attitude of support person"
86,7481-ATQQS,Churned,Attitude,"Attitude of support person"
87,5616-PRTNT,Churned,Attitude,"Attitude of support person"
88,6127-ISGTU,Churned,Attitude,"Attitude of support person"
89,7854-EKTJL,Churned,Attitude,"Attitude of support person"
90,7517-SAWMO,Churned,Attitude,"Attitude of support person"
91,7526-BEZQB,Churned,Attitude,"Attitude of support person"
92,7530-HDYDS,Churned,Attitude,"Attitude of support person"
93,6877-LGWXO,Churned,Attitude,"Attitude of support person"
94,6207-WIOLX,Churned,Attitude,"Attitude of support person"
95,7279-BUYWN,Churned,Attitude,"Attitude of support person"
96,6861-XWTWQ,Churned,Attitude,"Attitude of support person"
97,7083-YNSKY,Churned,Attitude,"Attitude of support person"
98,6270-OMFIW,Churned,Attitude,"Attitude of support person"
99,7377-DMMRI,Churned,Attitude,"Attitude of support person"
100,6987-XQSJT,Churned,Attitude,"Attitude of support person"
101,6394-MFYNG,Churned,Attitude,"Attitude of support person"
102,7551-JOHTI,Churned,Attitude,"Attitude of support person"
103,5644-PDMZC,Churned,Attitude,"Attitude of support person"
104,6990-YNRIO,Churned,Attitude,"Attitude of support person"
105,7603-USHJS,Churned,Attitude,"Attitude of support person"
106,6712-OAWRH,Churned,Attitude,"Attitude of support person"
107,7359-PTSXY,Churned,Attitude,"Attitude of support person"
108,6910-HADCM,Churned,Attitude,"Attitude of support person"
109,8042-JVNFH,Churned,Attitude,"Attitude of support person"
110,6437-UKHMV,Churned,Attitude,"Attitude of support person"
111,5940-AHUHD,Churned,Attitude,"Attitude of support person"
112,8035-BUYVG,Churned,Attitude,"Attitude of support person"
113,8111-SLLHI,Churned,Attitude,"Attitude of support person"
114,8083-YTZES,Churned,Attitude,"Attitude of support person"
115,7734-DBOAI,Churned,Attitude,"Attitude of support person"
116,8128-YVJRG,Churned,Attitude,"Attitude of support person"
117,5655-JSMZM,Churned,Attitude,"Attitude of support person"
118,5570-PTWEH,Churned,Attitude,"Attitude of support person"
119,5922-ABDVO,Churned,Attitude,"Attitude of support person"
120,8155-IBNHG,Churned,Attitude,"Attitude of support person"
121,6347-DCUIK,Churned,Attitude,"Attitude of support person"
122,7240-FQLHE,Churned,Attitude,"Attitude of support person"
123,6086-ESGRL,Churned,Attitude,"Attitude of support person"
124,8166-ZZTFS,Churned,Attitude,"Attitude of support person"
125,7927-AUXBZ,Churned,Attitude,"Attitude of support person"
126,7206-GZCDC,Churned,Attitude,"Attitude of support person"
127,5673-FSSMF,Churned,Attitude,"Attitude of support person"
128,8080-DDEMJ,Churned,Attitude,"Attitude of support person"
129,6849-WLEYG,Churned,Attitude,"Attitude of support person"
130,6982-UQZLY,Churned,Attitude,"Attitude of support person"
131,6496-SLWHQ,Churned,Attitude,"Attitude of support person"
132,6651-AZVTJ,Churned,Attitude,"Attitude of support person"
133,7234-FECYN,Churned,Attitude,"Attitude of support person"
134,7198-GLXTC,Churned,Attitude,"Attitude of support person"
135,6474-FVJLC,Churned,Attitude,"Attitude of support person"
136,5687-DKDTV,Churned,Attitude,"Attitude of support person"
137,7619-ODSGN,Churned,Attitude,"Attitude of support person"
138,7054-LGEQW,Churned,Attitude,"Attitude of support person"
139,7776-QWNFX,Churned,Attitude,"Attitude of support person"
140,6861-OKBCE,Churned,Attitude,"Attitude of support person"
141,8999-BOHSE,Churned,Attitude,"Attitude of support person"
142,8640-SDGKB,Churned,Attitude,"Attitude of support person"
143,9846-GKXAS,Churned,Attitude,"Attitude of support person"
144,8637-XJIVR,Churned,Attitude,"Attitude of support person"
145,8444-WRIDW,Churned,Attitude,"Attitude of support person"
146,9025-ZRPVR,Churned,Attitude,"Attitude of support person"
147,8634-MPHTR,Churned,Attitude,"Attitude of support person"
148,9172-ANCRX,Churned,Attitude,"Attitude of support person"
149,9840-DVNDC,Churned,Attitude,"Attitude of support person"
150,9787-XVQIU,Churned,Attitude,"Attitude of support person"
151,9651-GTSAQ,Churned,Attitude,"Attitude of support person"
152,9436-ZBZCT,Churned,Attitude,"Attitude of support person"
153,8931-GJJIQ,Churned,Attitude,"Attitude of support person"
154,9300-RENDD,Churned,Attitude,"Attitude of support person"
155,9804-ICWBG,Churned,Attitude,"Attitude of support person"
156,9606-PBKBQ,Churned,Attitude,"Attitude of support person"
157,9600-UDOPK,Churned,Attitude,"Attitude of support person"
158,8840-DQLGN,Churned,Attitude,"Attitude of support person"
159,9507-EXLTT,Churned,Attitude,"Attitude of support person"
160,8496-EJAUI,Churned,Attitude,"Attitude of support person"
161,9210-IAHGH,Churned,Attitude,"Attitude of support person"
162,8510-AWCXC,Churned,Attitude,"Attitude of support person"
163,9102-IAYHT,Churned,Attitude,"Attitude of support person"
164,0621-TWIEM,Churned,Attitude,"Attitude of support person"
165,0963-ZBDRN,Churned,Attitude,"Attitude of support person"
166,2034-CGRHZ,Churned,Attitude,"Attitude of support person"
167,0529-ONKER,Churned,Attitude,"Attitude of support person"
168,0265-EDXBD,Churned,Attitude,"Attitude of support person"
169,2091-RFFBA,Churned,Attitude,"Attitude of support person"
170,2114-MGINA,Churned,Attitude,"Attitude of support person"
171,0107-WESLM,Churned,Attitude,"Attitude of support person"
172,0322-YINQP,Churned,Attitude,"Attitude of support person"
173,0268-QKIWO,Churned,Attitude,"Attitude of support person"
174,2309-OSFEU,Churned,Attitude,"Attitude of support person"
175,2311-QYMUQ,Churned,Attitude,"Attitude of support person"
176,1009-IRMNA,Churned,Attitude,"Attitude of support person"
177,1038-ZAGBI,Churned,Attitude,"Attitude of support person"
178,1041-RXHRA,Churned,Attitude,"Attitude of support person"
179,2446-BEGGB,Churned,Attitude,"Attitude of support person"
180,2460-FPSYH,Churned,Attitude,"Attitude of support person"
181,0278-YXOOG,Churned,Attitude,"Attitude of support person"
182,2484-DGXPZ,Churned,Attitude,"Attitude of support person"
183,2485-ITVKB,Churned,Attitude,"Attitude of support person"
184,1195-OIYEJ,Churned,Attitude,"Attitude of support person"
185,0866-QLSIR,Churned,Attitude,"Attitude of support person"
186,2506-CLAKW,Churned,Attitude,"Attitude of support person"
187,2659-VXMWZ,Churned,Attitude,"Attitude of support person"
188,2725-KXXWT,Churned,Attitude,"Attitude of support person"
189,2737-YNGYW,Churned,Attitude,"Attitude of support person"
190,1724-BQUHA,Churned,Attitude,"Attitude of support person"
191,0135-NMXAP,Churned,Attitude,"Attitude of support person"
192,1612-EOHDH,Churned,Attitude,"Attitude of support person"
193,2839-RFSQE,Churned,Attitude,"Attitude of support person"
194,1285-OKIPP,Churned,Attitude,"Attitude of support person"
195,1075-BGWOH,Churned,Attitude,"Attitude of support person"
196,0689-NKYLF,Churned,Attitude,"Attitude of support person"
197,0654-HMSHN,Churned,Attitude,"Attitude of support person"
198,2153-MREFK,Churned,Attitude,"Attitude of support person"
199,0923-PNFUB,Churned,Attitude,"Attitude of support person"
200,1875-QIVME,Churned,Attitude,"Attitude of support person"
201,1084-UQCHV,Churned,Attitude,"Attitude of support person"
202,1583-IHQZE,Churned,Attitude,"Attitude of support person"
203,0388-EOPEX,Churned,Attitude,"Attitude of support person"
204,1704-NRWYE,Churned,Attitude,"Attitude of support person"
205,1349-WXNGG,Churned,Attitude,"Attitude of support person"
206,1644-IRKSF,Churned,Attitude,"Attitude of support person"
207,1087-UDSIH,Churned,Attitude,"Attitude of support person"
208,1577-HKTFG,Churned,Attitude,"Attitude of support person"
209,1450-SKCVI,Churned,Attitude,"Attitude of support person"
210,0415-MOSGF,Churned,Attitude,"Attitude of support person"
211,0420-BWTPW,Churned,Attitude,"Attitude of support person"
212,0516-VRYBW,Churned,Attitude,"Attitude of support person"
213,1564-NTYXF,Churned,Attitude,"Attitude of support person"
214,0257-ZESQC,Churned,Attitude,"Attitude of support person"
215,0193-ESZXP,Churned,Attitude,"Attitude of support person"
216,0461-CVKMU,Churned,Attitude,"Attitude of support person"
217,0761-AETCS,Churned,Attitude,"Attitude of support person"
218,1820-TQVEV,Churned,Attitude,"Attitude of support person"
219,2027-FECZV,Churned,Attitude,"Attitude of support person"
220,0875-CABNR,Churned,Attitude,"Attitude of support person"
1,0004-TLHLJ,Churned,Competitor,"Competitor had better devices"
2,0661-XEYAN,Churned,Competitor,"Competitor had better devices"
3,2482-CZGBB,Churned,Competitor,"Competitor had better devices"
4,0709-TVGUR,Churned,Competitor,"Competitor had better devices"
5,1157-BQCUW,Churned,Competitor,"Competitor had better devices"
6,0578-SKVMF,Churned,Competitor,"Competitor had better devices"
7,0318-QUUOB,Churned,Competitor,"Competitor had better devices"
8,2359-KMGLI,Churned,Competitor,"Competitor had better devices"
9,0596-BQCEQ,Churned,Competitor,"Competitor had better devices"
10,1626-ERCMM,Churned,Competitor,"Competitor had better devices"
11,0970-ETWGE,Churned,Competitor,"Competitor had better devices"
12,0781-LKXBR,Churned,Competitor,"Competitor had better devices"
13,1894-IGFSG,Churned,Competitor,"Competitor had better devices"
14,1891-UAWWU,Churned,Competitor,"Competitor had better devices"
15,1918-ZBFQJ,Churned,Competitor,"Competitor had better devices"
16,1891-FZYSA,Churned,Competitor,"Competitor had better devices"
17,1907-UBQFC,Churned,Competitor,"Competitor had better devices"
18,1415-YFWLT,Churned,Competitor,"Competitor had better devices"
19,0322-CHQRU,Churned,Competitor,"Competitor had better devices"
20,0786-VSSUD,Churned,Competitor,"Competitor had better devices"
21,1624-WOIWJ,Churned,Competitor,"Competitor had better devices"
22,0378-TOVMS,Churned,Competitor,"Competitor had better devices"
23,2865-TCHJW,Churned,Competitor,"Competitor had better devices"
24,1866-RZZQS,Churned,Competitor,"Competitor had better devices"
25,1725-IQNIY,Churned,Competitor,"Competitor had better devices"
26,1271-SJBGZ,Churned,Competitor,"Competitor had better devices"
27,2207-NHRJK,Churned,Competitor,"Competitor had better devices"
28,0754-UKWQP,Churned,Competitor,"Competitor had better devices"
29,0328-GRPMV,Churned,Competitor,"Competitor had better devices"
30,2202-CUYXZ,Churned,Competitor,"Competitor had better devices"
31,1623-NLDOT,Churned,Competitor,"Competitor had better devices"
32,0236-HFWSV,Churned,Competitor,"Competitor had better devices"
33,0506-LVNGN,Churned,Competitor,"Competitor had better devices"
34,1448-PWKYE,Churned,Competitor,"Competitor had better devices"
35,1184-PJVDB,Churned,Competitor,"Competitor had better devices"
36,0742-NXBGR,Churned,Competitor,"Competitor had better devices"
37,0616-ATFGB,Churned,Competitor,"Competitor had better devices"
38,2135-RXIHG,Churned,Competitor,"Competitor had better devices"
39,0871-URUWO,Churned,Competitor,"Competitor had better devices"
40,0256-LTHVJ,Churned,Competitor,"Competitor had better devices"
41,0515-YPMCW,Churned,Competitor,"Competitor had better devices"
42,1069-XAIEM,Churned,Competitor,"Competitor had better devices"
43,1373-ORVIZ,Churned,Competitor,"Competitor had better devices"
44,1602-IJQQE,Churned,Competitor,"Competitor had better devices"
45,1842-EZJMK,Churned,Competitor,"Competitor had better devices"
46,2074-GKOWZ,Churned,Competitor,"Competitor had better devices"
47,0946-CLJTI,Churned,Competitor,"Competitor had better devices"
48,2834-SPCJV,Churned,Competitor,"Competitor had better devices"
49,0093-XWZFY,Churned,Competitor,"Competitor had better devices"
50,1670-SVOWZ,Churned,Competitor,"Competitor had better devices"
51,2834-JRTUA,Churned,Competitor,"Competitor had better devices"
52,2833-SLKDQ,Churned,Competitor,"Competitor had better devices"
53,0880-TKATG,Churned,Competitor,"Competitor had better devices"
54,2778-OCLGR,Churned,Competitor,"Competitor had better devices"
55,1809-DMJHQ,Churned,Competitor,"Competitor had better devices"
56,0733-VUNUW,Churned,Competitor,"Competitor had better devices"
57,0107-YHINA,Churned,Competitor,"Competitor had better devices"
58,0280-XJGEX,Churned,Competitor,"Competitor had better devices"
59,1587-FKLZB,Churned,Competitor,"Competitor had better devices"
60,1571-SAVHK,Churned,Competitor,"Competitor had better devices"
61,2004-OCQXK,Churned,Competitor,"Competitor had better devices"
62,0295-PPHDO,Churned,Competitor,"Competitor had better devices"
63,2568-BRGYX,Churned,Competitor,"Competitor had better devices"
64,2026-TGDHM,Churned,Competitor,"Competitor had better devices"
65,1582-RAFML,Churned,Competitor,"Competitor had better devices"
66,0691-JVSYA,Churned,Competitor,"Competitor had better devices"
67,1150-WFARN,Churned,Competitor,"Competitor had better devices"
68,0655-RBDUG,Churned,Competitor,"Competitor had better devices"
69,2685-SREOM,Churned,Competitor,"Competitor had better devices"
70,1989-PRJHP,Churned,Competitor,"Competitor had better devices"
71,2672-DZUOY,Churned,Competitor,"Competitor had better devices"
72,0947-MUGVO,Churned,Competitor,"Competitor had better devices"
73,1122-JWTJW,Churned,Competitor,"Competitor had better devices"
74,1363-TXLSL,Churned,Competitor,"Competitor had better devices"
75,2608-BHKFN,Churned,Competitor,"Competitor had better devices"
76,1450-GALXR,Churned,Competitor,"Competitor had better devices"
77,1980-KXVPM,Churned,Competitor,"Competitor had better devices"
78,2606-RMDHZ,Churned,Competitor,"Competitor had better devices"
79,0836-SEYLU,Churned,Competitor,"Competitor had better devices"
80,1976-CFOCS,Churned,Competitor,"Competitor had better devices"
81,0148-DCDOS,Churned,Competitor,"Competitor had better devices"
82,0151-ONTOV,Churned,Competitor,"Competitor had better devices"
83,2058-DCJBE,Churned,Competitor,"Competitor had better devices"
84,2528-HFYZX,Churned,Competitor,"Competitor had better devices"
85,2519-FAKOD,Churned,Competitor,"Competitor had better devices"
86,1750-CSKKM,Churned,Competitor,"Competitor had better devices"
87,0679-IDSTG,Churned,Competitor,"Competitor had better devices"
88,7503-QQRVF,Churned,Competitor,"Competitor had better devices"
89,7595-EUIVN,Churned,Competitor,"Competitor had better devices"
90,7598-UAASY,Churned,Competitor,"Competitor had better devices"
91,6711-VTNRE,Churned,Competitor,"Competitor had better devices"
92,5567-WSELE,Churned,Competitor,"Competitor had better devices"
93,7493-TPUWZ,Churned,Competitor,"Competitor had better devices"
94,7488-MXJIV,Churned,Competitor,"Competitor had better devices"
95,6711-FLDFB,Churned,Competitor,"Competitor had better devices"
96,6777-TGHTM,Churned,Competitor,"Competitor had better devices"
97,5572-ZDXHY,Churned,Competitor,"Competitor had better devices"
98,7321-PKUYW,Churned,Competitor,"Competitor had better devices"
99,6166-ILMNY,Churned,Competitor,"Competitor had better devices"
100,7410-YTJIK,Churned,Competitor,"Competitor had better devices"
101,6818-WOBHJ,Churned,Competitor,"Competitor had better devices"
102,6289-CPNLD,Churned,Competitor,"Competitor had better devices"
103,6986-IJDHX,Churned,Competitor,"Competitor had better devices"
104,7410-KTVFV,Churned,Competitor,"Competitor had better devices"
105,6797-LNAQX,Churned,Competitor,"Competitor had better devices"
106,6140-QNRQQ,Churned,Competitor,"Competitor had better devices"
107,5609-CEBID,Churned,Competitor,"Competitor had better devices"
108,6317-YPKDH,Churned,Competitor,"Competitor had better devices"
109,6982-SSHFK,Churned,Competitor,"Competitor had better devices"
110,7683-CBDKJ,Churned,Competitor,"Competitor had better devices"
111,7693-LCKZL,Churned,Competitor,"Competitor had better devices"
112,6097-EQISJ,Churned,Competitor,"Competitor had better devices"
113,6993-OHLXR,Churned,Competitor,"Competitor had better devices"
114,6996-KNSML,Churned,Competitor,"Competitor had better devices"
115,7760-OYPDY,Churned,Competitor,"Competitor had better devices"
116,6646-VRFOL,Churned,Competitor,"Competitor had better devices"
117,6365-MTGZX,Churned,Competitor,"Competitor had better devices"
118,6646-QVXLR,Churned,Competitor,"Competitor had better devices"
119,6959-UWKHF,Churned,Competitor,"Competitor had better devices"
120,6060-DRTNL,Churned,Competitor,"Competitor had better devices"
121,7209-JCUDS,Churned,Competitor,"Competitor had better devices"
122,7207-RMRDB,Churned,Competitor,"Competitor had better devices"
123,6047-YHPVI,Churned,Competitor,"Competitor had better devices"
124,6923-EFPNL,Churned,Competitor,"Competitor had better devices"
125,6038-GCYEC,Churned,Competitor,"Competitor had better devices"
126,7156-MHUGY,Churned,Competitor,"Competitor had better devices"
127,5729-KLZAR,Churned,Competitor,"Competitor had better devices"
128,7802-EFKNY,Churned,Competitor,"Competitor had better devices"
129,6032-IGALN,Churned,Competitor,"Competitor had better devices"
130,7142-HVGBG,Churned,Competitor,"Competitor had better devices"
131,5759-RCVCB,Churned,Competitor,"Competitor had better devices"
132,6023-YEBUP,Churned,Competitor,"Competitor had better devices"
133,6022-UGGSO,Churned,Competitor,"Competitor had better devices"
134,6397-JNZZG,Churned,Competitor,"Competitor had better devices"
135,7124-UGSUR,Churned,Competitor,"Competitor had better devices"
136,7851-FLGGQ,Churned,Competitor,"Competitor had better devices"
137,6424-ELEYH,Churned,Competitor,"Competitor had better devices"
138,7079-QRCBC,Churned,Competitor,"Competitor had better devices"
139,7861-UVUFT,Churned,Competitor,"Competitor had better devices"
140,7890-VYYWG,Churned,Competitor,"Competitor had better devices"
141,6907-NZZIJ,Churned,Competitor,"Competitor had better devices"
142,6017-PPLPX,Churned,Competitor,"Competitor had better devices"
