customer_id,"tenure (months)",offer,phone_service,multiple_lines,internet_service,internet_type
0089-IIQKO,39,None,Yes,Yes,Yes,"Fiber Optic"
0093-EXYQL,40,None,Yes,No,Yes,"Fiber Optic"
0093-XWZFY,40,None,Yes,Yes,Yes,"Fiber Optic"
0094-OIFMO,11,"Offer D",Yes,No,Yes,"Fiber Optic"
0096-BXERS,6,"Offer E",Yes,Yes,Yes,Cable
0096-FCPUF,30,None,Yes,Yes,Yes,DSL
0098-BOWSO,27,None,Yes,No,No,None
0100-DUVFC,70,None,Yes,Yes,Yes,"Fiber Optic"
0103-CSITQ,57,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0104-PPXDV,58,None,Yes,No,Yes,DSL
0106-GHRQR,16,None,Yes,Yes,Yes,DSL
0106-UGRDO,69,"Offer A",Yes,Yes,Yes,"Fiber Optic"
0107-WESLM,1,"Offer E",Yes,No,No,None
0107-YHINA,1,None,Yes,Yes,Yes,"Fiber Optic"
0111-KLBQG,32,"Offer C",Yes,No,Yes,"Fiber Optic"
0112-QAWRZ,16,"Offer D",Yes,Yes,Yes,"Fiber Optic"
0112-QWPNC,49,"Offer B",Yes,Yes,Yes,Cable
0114-IGABW,71,"Offer A",No,No,Yes,Cable
0114-PEGZZ,33,None,Yes,Yes,Yes,"Fiber Optic"
0114-RSRRW,10,"Offer D",Yes,No,No,None
0115-TFERT,21,None,Yes,Yes,Yes,"Fiber Optic"
0117-LFRMW,37,None,No,No,Yes,DSL
0118-JPNOY,26,None,Yes,No,Yes,"Fiber Optic"
0121-SNYRK,50,"Offer B",No,No,Yes,DSL
0122-OAHPZ,7,None,Yes,Yes,Yes,"Fiber Optic"
0123-CRBRT,61,"Offer B",Yes,Yes,Yes,DSL
0125-LZQXK,15,"Offer D",Yes,No,Yes,"Fiber Optic"
0128-MKWSG,26,None,No,No,Yes,DSL
0129-KPTWJ,72,None,Yes,No,Yes,"Fiber Optic"
0129-QMPDR,44,None,Yes,No,No,None
0130-SXOUN,66,"Offer A",Yes,Yes,Yes,"Fiber Optic"
0133-BMFZO,2,None,Yes,No,Yes,"Fiber Optic"
0134-XWXCE,44,None,Yes,No,Yes,DSL
0135-NMXAP,12,"Offer D",Yes,Yes,Yes,"Fiber Optic"
0136-IFMYD,69,None,Yes,Yes,Yes,"Fiber Optic"
0137-OCGAB,1,"Offer E",Yes,Yes,Yes,"Fiber Optic"
0137-UDEUO,3,"Offer E",Yes,No,No,None
0139-IVFJG,2,None,Yes,No,Yes,"Fiber Optic"
0141-YEAYS,27,None,Yes,Yes,Yes,"Fiber Optic"
0142-GVYSN,26,"Offer C",Yes,No,No,None
0147-ESWWR,39,None,Yes,Yes,Yes,"Fiber Optic"
0148-DCDOS,25,None,Yes,Yes,Yes,"Fiber Optic"
0151-ONTOV,1,"Offer E",Yes,No,Yes,"Fiber Optic"
0156-FVPTA,22,"Offer D",Yes,No,Yes,DSL
0164-APGRB,72,"Offer A",Yes,Yes,Yes,"Fiber Optic"
0164-XAIRP,24,None,Yes,No,No,None
0168-XZKBB,19,None,Yes,Yes,Yes,"Fiber Optic"
0174-QRVVY,71,None,Yes,Yes,No,None
0177-PXBAT,33,None,Yes,Yes,Yes,"Fiber Optic"
0178-CIIKR,3,None,Yes,No,No,None
0178-SZBHO,47,None,Yes,Yes,Yes,"Fiber Optic"
0181-RITDD,62,None,Yes,No,Yes,"Fiber Optic"
0186-CAERR,71,None,Yes,Yes,Yes,"Fiber Optic"
0187-QSXOE,7,None,Yes,No,Yes,"Fiber Optic"
0187-WZNAB,27,"Offer C",Yes,No,Yes,"Fiber Optic"
0188-GWFLE,2,None,Yes,No,No,None
0191-EQUUH,25,"Offer C",No,No,Yes,Cable
0191-ZHSKZ,30,None,Yes,No,Yes,DSL
0193-ESZXP,58,None,Yes,No,Yes,"Fiber Optic"
0195-IESCP,10,"Offer D",Yes,Yes,Yes,"Fiber Optic"
0196-JTUQI,9,None,Yes,Yes,Yes,"Fiber Optic"
0196-VULGZ,6,None,Yes,Yes,Yes,"Fiber Optic"
0197-PNKNK,69,None,Yes,Yes,Yes,"Fiber Optic"
0201-MIBOL,66,None,Yes,Yes,Yes,"Fiber Optic"
0201-OAMXR,70,"Offer A",Yes,Yes,Yes,"Fiber Optic"
0203-HHYIJ,25,"Offer C",Yes,Yes,No,None
0206-OYVOC,46,"Offer B",Yes,No,No,None
0206-TBWLC,54,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0207-MDKNV,15,None,Yes,No,Yes,"Fiber Optic"
0208-BPQEJ,12,"Offer D",Yes,No,No,None
0212-ISBBF,22,None,No,No,Yes,Cable
0214-JHPFW,70,None,No,No,Yes,Cable
0215-BQKGS,30,"Offer C",Yes,No,Yes,"Fiber Optic"
0218-QNVAS,71,"Offer A",Yes,Yes,Yes,"Fiber Optic"
0219-QAERP,30,None,Yes,No,No,None
0219-YTZUE,4,"Offer E",Yes,Yes,Yes,"Fiber Optic"
0220-EBGCE,2,"Offer E",Yes,No,Yes,"Fiber Optic"
0221-NAUXK,10,None,Yes,No,No,None
0221-WMXNQ,4,"Offer E",Yes,No,Yes,"Fiber Optic"
0222-CNVPT,52,"Offer B",No,No,Yes,DSL
0224-HJAPT,5,None,Yes,Yes,Yes,Cable
0224-NIJLP,8,"Offer E",Yes,No,No,None
0224-RLWWD,2,"Offer E",Yes,No,Yes,Cable
0225-ZORZP,3,"Offer E",Yes,No,Yes,"Fiber Optic"
0228-MAUWC,19,"Offer D",Yes,Yes,Yes,DSL
0229-LFJAF,72,"Offer A",Yes,Yes,Yes,DSL
0230-UBYPQ,63,"Offer B",No,No,Yes,DSL
0230-WEQUW,66,None,No,No,Yes,DSL
0231-LXVAP,1,None,Yes,No,Yes,"Fiber Optic"
0233-FTHAV,60,None,Yes,Yes,Yes,"Fiber Optic"
0234-TEVTT,48,None,No,No,Yes,DSL
0235-KGSLC,1,"Offer E",Yes,No,Yes,"Fiber Optic"
0236-HFWSV,15,None,Yes,Yes,Yes,"Fiber Optic"
0237-YFUTL,50,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0238-WHBIQ,72,"Offer A",Yes,Yes,Yes,Cable
0239-OXEXL,46,None,Yes,Yes,Yes,"Fiber Optic"
0244-LGNFY,72,None,Yes,Yes,Yes,DSL
0247-SLUJI,1,None,Yes,No,No,None
0248-IPDFW,1,None,Yes,Yes,Yes,Cable
0248-PGHBZ,67,"Offer A",Yes,No,Yes,"Fiber Optic"
0253-ZTEOB,48,None,Yes,Yes,Yes,DSL
0254-FNMCI,72,None,Yes,No,Yes,"Fiber Optic"
0254-KCJGT,52,"Offer B",Yes,Yes,Yes,Cable
0254-WWRKD,67,"Offer A",Yes,No,Yes,Cable
0256-LTHVJ,28,"Offer C",Yes,No,Yes,"Fiber Optic"
0257-KXZGU,32,"Offer C",Yes,Yes,Yes,DSL
0257-ZESQC,27,None,Yes,No,Yes,Cable
0258-NOKBL,3,None,Yes,No,Yes,"Fiber Optic"
0259-GBZSH,2,"Offer E",Yes,Yes,Yes,Cable
0260-ZDLGK,9,None,Yes,No,Yes,Cable
0263-FJTQO,50,"Offer B",Yes,Yes,Yes,Cable
0264-CNITK,71,None,Yes,No,No,None
0265-EDXBD,32,"Offer C",Yes,Yes,Yes,"Fiber Optic"
0265-PSUAE,16,"Offer D",Yes,No,Yes,"Fiber Optic"
0266-CLZKZ,67,"Offer A",Yes,Yes,Yes,"Fiber Optic"
0266-GMEAO,72,None,Yes,Yes,Yes,"Fiber Optic"
0268-QKIWO,3,"Offer E",Yes,No,No,None
0269-XFESX,23,None,Yes,Yes,No,None
0270-THENM,72,None,Yes,Yes,Yes,DSL
0274-JKUJR,7,"Offer E",No,No,Yes,Cable
0277-BKSQP,8,"Offer E",Yes,No,Yes,DSL
0277-ORXQS,66,"Offer A",No,No,Yes,Cable
0278-YXOOG,5,"Offer E",Yes,No,No,None
0280-XJGEX,49,None,Yes,Yes,Yes,"Fiber Optic"
0281-CNTZX,63,"Offer B",Yes,No,No,None
0282-NVSJS,12,"Offer D",No,No,Yes,DSL
0285-INHLN,27,None,Yes,No,Yes,DSL
0289-IVARM,35,None,Yes,No,Yes,DSL
0292-WEGCH,54,"Offer B",Yes,Yes,Yes,DSL
0295-PPHDO,1,None,Yes,Yes,Yes,"Fiber Optic"
0295-QVKPB,5,"Offer E",Yes,No,Yes,DSL
0297-RBCSG,19,None,Yes,No,Yes,DSL
0298-XACET,52,None,No,No,Yes,DSL
0301-FIDRB,72,None,No,No,Yes,DSL
0301-KOBTQ,32,None,Yes,No,No,None
0302-JOIVN,8,None,Yes,No,Yes,"Fiber Optic"
0303-UNCIP,41,"Offer B",Yes,Yes,Yes,DSL
0303-WMMRN,5,None,Yes,No,No,None
0305-SQECB,11,None,No,No,Yes,DSL
0306-JAELE,5,None,Yes,No,Yes,"Fiber Optic"
0307-BCOPK,16,"Offer D",Yes,No,No,None
0308-GIQJT,71,None,Yes,Yes,Yes,"Fiber Optic"
0308-IVGOK,11,None,No,No,Yes,DSL
0310-MVLET,61,None,Yes,Yes,Yes,"Fiber Optic"
0310-SUCIN,71,None,Yes,No,Yes,Cable
0310-VQXAM,9,None,Yes,No,No,None
0311-QYWSS,6,None,Yes,No,Yes,DSL
0311-UNPFF,26,None,Yes,No,Yes,"Fiber Optic"
0314-TKOSI,6,"Offer E",Yes,No,Yes,Cable
0315-LVCRK,11,None,Yes,No,Yes,"Fiber Optic"
0318-QUUOB,1,None,Yes,No,Yes,"Fiber Optic"
0318-ZOPWS,49,None,Yes,No,No,None
0319-QZTCO,3,"Offer E",Yes,No,Yes,DSL
0320-DWVTU,53,"Offer B",Yes,No,Yes,"Fiber Optic"
0320-JDNQG,23,None,Yes,No,Yes,"Fiber Optic"
0322-CHQRU,2,None,Yes,No,Yes,DSL
0322-YINQP,1,None,Yes,No,Yes,DSL
0323-XWWTN,3,None,Yes,Yes,No,None
0324-BRPCJ,68,None,Yes,Yes,Yes,Cable
0325-XBFAC,8,None,Yes,No,Yes,"Fiber Optic"
0326-VDYXE,70,"Offer A",Yes,Yes,Yes,"Fiber Optic"
0327-WFZSY,39,"Offer C",Yes,Yes,Yes,"Fiber Optic"
0328-GRPMV,1,None,Yes,No,Yes,"Fiber Optic"
0329-GTIAJ,3,None,Yes,No,Yes,"Fiber Optic"
0330-BGYZE,60,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0330-IVZHA,5,"Offer E",Yes,No,Yes,"Fiber Optic"
0334-GDDSO,3,"Offer E",Yes,Yes,Yes,"Fiber Optic"
0334-ZFJSR,55,None,Yes,Yes,Yes,Cable
0336-KXKFK,72,None,No,No,Yes,DSL
0336-PIKEI,72,"Offer A",Yes,No,Yes,DSL
0337-CNPZE,41,None,Yes,Yes,Yes,"Fiber Optic"
0343-QLUZP,60,"Offer B",No,No,Yes,DSL
0345-HKJVM,6,None,Yes,No,Yes,"Fiber Optic"
0345-XMMUG,46,None,Yes,Yes,Yes,"Fiber Optic"
0347-UBKUZ,15,None,Yes,No,No,None
0348-SDKOL,58,None,Yes,Yes,Yes,"Fiber Optic"
0354-VXMJC,23,None,Yes,No,No,None
0354-WYROK,31,"Offer C",Yes,No,Yes,"Fiber Optic"
0356-ERHVT,11,"Offer D",Yes,No,Yes,Cable
0356-OBMAC,56,None,Yes,Yes,Yes,"Fiber Optic"
0357-NVCRI,25,"Offer C",Yes,No,No,None
0361-HJRDX,68,"Offer A",No,No,Yes,DSL
0362-RAOQO,40,None,Yes,No,No,None
0362-ZBZWJ,36,None,Yes,Yes,Yes,"Fiber Optic"
0363-QJVFX,32,"Offer C",Yes,Yes,Yes,"Fiber Optic"
0363-SVHYR,71,"Offer A",Yes,Yes,Yes,DSL
0365-BZUWY,17,"Offer D",Yes,Yes,Yes,"Fiber Optic"
0365-GXEZS,18,"Offer D",Yes,No,Yes,"Fiber Optic"
0365-TRTPY,37,None,Yes,Yes,Yes,"Fiber Optic"
0366-NQSHS,2,None,Yes,No,No,None
0369-ZGOVK,28,"Offer C",Yes,No,Yes,"Fiber Optic"
0373-AIVNJ,9,"Offer E",No,No,Yes,Cable
0374-AACSZ,1,"Offer E",Yes,No,Yes,DSL
0374-FIUCA,65,None,Yes,No,No,None
0374-IOEGQ,3,None,Yes,No,Yes,Cable
0375-HVGXO,1,"Offer E",No,No,Yes,DSL
0376-OIWME,36,"Offer C",Yes,No,Yes,"Fiber Optic"
0376-YMCJC,23,None,Yes,Yes,Yes,Cable
0377-JBKKT,22,"Offer D",Yes,No,Yes,DSL
0378-CJKPV,72,None,Yes,Yes,Yes,"Fiber Optic"
0378-NHQXU,17,None,Yes,Yes,Yes,"Fiber Optic"
0378-TOVMS,3,None,Yes,No,Yes,"Fiber Optic"
0378-XSZPU,58,"Offer B",Yes,No,Yes,Cable
0379-DJQHR,67,None,Yes,No,Yes,DSL
0380-NEAVX,34,None,Yes,No,Yes,"Fiber Optic"
0380-ZCSBI,10,None,Yes,No,No,None
0383-CLDDA,69,"Offer A",Yes,Yes,Yes,DSL
0384-LPITE,40,None,No,No,Yes,Cable
0384-RVBPI,20,"Offer D",Yes,No,Yes,DSL
0386-CWRGM,46,None,Yes,No,No,None
0388-EOPEX,2,None,Yes,No,Yes,"Fiber Optic"
0390-DCFDQ,1,"Offer E",Yes,No,Yes,"Fiber Optic"
0392-BZIUW,72,None,Yes,Yes,Yes,"Fiber Optic"
0394-YONDK,70,None,Yes,Yes,No,None
0396-HUJBP,2,None,Yes,No,No,None
0396-UKGAI,23,"Offer D",Yes,No,Yes,DSL
0396-YCHWO,36,"Offer C",Yes,Yes,Yes,"Fiber Optic"
0397-GZBBC,59,None,Yes,Yes,Yes,"Fiber Optic"
0397-ZXWQF,67,"Offer A",Yes,No,No,None
0401-WDBXM,72,None,Yes,Yes,Yes,"Fiber Optic"
0402-CQAJN,37,None,Yes,Yes,Yes,"Fiber Optic"
0402-OAMEN,72,"Offer A",Yes,Yes,No,None
0404-AHASP,72,"Offer A",Yes,No,No,None
0404-SWRVG,3,"Offer E",Yes,Yes,Yes,"Fiber Optic"
0406-BPDVR,54,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0407-BDJKB,60,None,Yes,Yes,Yes,"Fiber Optic"
0409-WTMPL,58,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0410-IPFTY,31,"Offer C",Yes,No,Yes,"Fiber Optic"
0411-EZJZE,3,None,Yes,Yes,Yes,DSL
0412-UCCNP,55,None,Yes,No,Yes,DSL
0415-MOSGF,1,"Offer E",Yes,No,Yes,DSL
0419-YAAPX,49,"Offer B",Yes,No,Yes,"Fiber Optic"
0420-BWTPW,8,None,No,No,Yes,DSL
0420-HLGXF,39,None,Yes,Yes,Yes,"Fiber Optic"
0420-TXVSG,66,"Offer A",Yes,Yes,Yes,DSL
0422-OHQHQ,15,None,Yes,No,No,None
0422-UXFAP,51,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0423-UDIJQ,9,None,Yes,No,Yes,DSL
0426-TIRNE,1,"Offer E",Yes,No,No,None
0428-AXXLJ,25,"Offer C",Yes,No,No,None
0428-IKYCP,22,None,Yes,No,Yes,"Fiber Optic"
0430-IHCDJ,15,None,Yes,Yes,Yes,DSL
0431-APWVY,28,None,Yes,No,Yes,"Fiber Optic"
0432-CAJZV,3,None,Yes,No,Yes,"Fiber Optic"
0434-CSFON,47,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0436-TWFFZ,67,"Offer A",Yes,Yes,Yes,DSL
0439-IFYUN,18,"Offer D",Yes,No,Yes,"Fiber Optic"
0440-EKDCF,62,"Offer B",Yes,No,Yes,Cable
0440-MOGPM,41,None,Yes,Yes,Yes,DSL
0440-QEXBZ,44,"Offer B",Yes,Yes,Yes,DSL
0440-UEDAI,53,None,Yes,No,Yes,"Fiber Optic"
0442-TDYUO,48,None,Yes,No,No,None
0442-ZXKVS,54,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0447-BEMNG,48,None,No,No,Yes,Cable
0447-RXSGD,24,"Offer C",Yes,Yes,Yes,"Fiber Optic"
0454-OKRCT,33,"Offer C",Yes,No,Yes,"Fiber Optic"
0455-ENTCR,66,None,Yes,Yes,Yes,DSL
0455-XFASS,3,None,Yes,No,Yes,"Fiber Optic"
0458-HEUZG,13,"Offer D",No,No,Yes,Cable
0459-SPZHJ,63,None,Yes,Yes,Yes,DSL
0461-CVKMU,23,None,Yes,No,Yes,"Fiber Optic"
0463-TXOAK,52,None,Yes,Yes,No,None
0463-WZZKO,3,"Offer E",Yes,No,No,None
0463-ZSDNT,10,None,Yes,No,Yes,DSL
0464-WJTKO,72,None,Yes,No,No,None
0468-YRPXN,29,"Offer C",Yes,No,Yes,"Fiber Optic"
0471-ARVMX,62,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0471-LVHGK,41,None,Yes,Yes,Yes,DSL
0475-RIJEP,43,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0479-HMSWA,26,"Offer C",Yes,No,Yes,"Fiber Optic"
0480-BIXDE,19,"Offer D",Yes,No,Yes,"Fiber Optic"
0480-KYJVA,72,None,Yes,Yes,No,None
0481-SUMCB,45,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0484-FFVBJ,32,None,Yes,No,Yes,DSL
0484-JPBRU,41,None,Yes,Yes,No,None
0485-ZBSLN,65,None,Yes,Yes,No,None
0486-HECZI,55,None,Yes,Yes,Yes,"Fiber Optic"
0486-LGCCH,11,"Offer D",Yes,No,No,None
0487-CRLZF,49,"Offer B",Yes,No,Yes,DSL
0487-RPVUM,61,None,Yes,Yes,Yes,"Fiber Optic"
0487-VVUVK,25,None,Yes,No,No,None
0488-GSLFR,1,None,Yes,No,Yes,"Fiber Optic"
0489-WMEMG,23,"Offer D",Yes,No,Yes,Cable
0491-KAPQG,21,"Offer D",Yes,Yes,Yes,"Fiber Optic"
0495-RVCBF,1,None,Yes,No,Yes,"Fiber Optic"
0495-ZBNGW,5,None,Yes,Yes,Yes,"Fiber Optic"
0496-AHOOK,24,"Offer C",Yes,No,Yes,Cable
0504-HHAPI,27,None,Yes,Yes,Yes,"Fiber Optic"
0505-SPOOW,70,"Offer A",Yes,No,No,None
0506-LVNGN,5,None,Yes,No,Yes,"Fiber Optic"
0506-YLVKJ,46,None,Yes,No,No,None
0508-OOLTO,2,None,Yes,No,Yes,"Fiber Optic"
0508-SQWPL,57,"Offer B",Yes,No,No,None
0511-JTEOY,1,"Offer E",Yes,No,Yes,"Fiber Optic"
0512-FLFDW,60,None,Yes,Yes,Yes,"Fiber Optic"
0513-RBGPE,37,None,Yes,Yes,Yes,DSL
0515-YPMCW,1,None,Yes,No,Yes,"Fiber Optic"
0516-OOHAR,28,None,Yes,No,Yes,"Fiber Optic"
0516-QREYC,24,None,Yes,No,No,None
0516-UXRMT,62,None,Yes,Yes,Yes,"Fiber Optic"
0516-VRYBW,18,"Offer D",Yes,No,No,None
0516-WJVXC,5,None,Yes,No,Yes,DSL
0519-DRGTI,20,None,Yes,No,No,None
0519-XUZJU,1,None,Yes,No,Yes,"Fiber Optic"
0520-FDVVT,35,None,Yes,No,Yes,"Fiber Optic"
0523-VNGTF,52,None,No,No,Yes,DSL
0524-IAVZO,30,"Offer C",Yes,Yes,Yes,"Fiber Optic"
0526-SXDJP,72,"Offer A",No,No,Yes,Cable
0529-ONKER,15,"Offer D",Yes,Yes,Yes,"Fiber Optic"
0530-IJVDB,70,"Offer A",Yes,Yes,Yes,"Fiber Optic"
0531-XBKMM,66,None,Yes,Yes,Yes,DSL
0531-ZZJWQ,55,None,Yes,Yes,Yes,"Fiber Optic"
0533-BNWKF,55,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0533-UCAAU,57,None,Yes,Yes,Yes,DSL
0536-ACXIP,72,None,Yes,Yes,Yes,"Fiber Optic"
0536-BGFMZ,28,None,Yes,No,No,None
0536-ESJEP,54,None,Yes,No,Yes,DSL
0537-QYZZN,24,"Offer C",Yes,Yes,Yes,"Fiber Optic"
0541-FITGH,2,"Offer E",Yes,No,Yes,Cable
0547-HURJB,12,"Offer D",Yes,No,No,None
0549-CYCQN,51,None,Yes,Yes,Yes,"Fiber Optic"
0550-DCXLH,13,None,Yes,No,Yes,DSL
0556-FJEGU,58,"Offer B",Yes,No,Yes,DSL
0557-ASKVU,18,"Offer D",Yes,No,Yes,Cable
0559-CKHUS,29,"Offer C",Yes,No,No,None
0562-FGDCR,72,None,Yes,Yes,Yes,DSL
0562-HKHML,71,"Offer A",Yes,Yes,No,None
0562-KBDVM,70,"Offer A",No,No,Yes,DSL
0564-JJHGS,9,None,Yes,Yes,Yes,"Fiber Optic"
0564-MUUQK,20,None,Yes,Yes,Yes,"Fiber Optic"
0565-IYCGT,69,"Offer A",Yes,Yes,Yes,DSL
0565-JUPYD,63,None,Yes,Yes,Yes,"Fiber Optic"
0567-GGCAC,7,None,Yes,No,Yes,DSL
0567-XRHCU,69,None,No,No,Yes,DSL
0568-ONFPC,5,"Offer E",Yes,Yes,No,None
0570-BFQHT,9,None,Yes,No,Yes,"Fiber Optic"
0572-ZJKLT,46,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0575-CUQOV,60,"Offer B",Yes,No,Yes,"Fiber Optic"
0576-WNXXC,27,None,Yes,Yes,Yes,"Fiber Optic"
0577-WHMEV,16,"Offer D",Yes,Yes,Yes,"Fiber Optic"
0578-SKVMF,22,None,Yes,No,Yes,Cable
0580-PIQHM,41,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0581-BXBUB,4,None,Yes,No,Yes,"Fiber Optic"
0581-MDMPW,24,"Offer C",Yes,Yes,Yes,"Fiber Optic"
0582-AVCLN,38,None,Yes,No,No,None
0584-BJQGZ,25,None,Yes,Yes,Yes,Cable
0585-EGDDA,40,"Offer B",Yes,No,Yes,"Fiber Optic"
0587-DMGBH,8,None,Yes,No,Yes,Cable
0594-UFTUL,13,"Offer D",Yes,No,No,None
0595-ITUDF,64,None,Yes,Yes,Yes,"Fiber Optic"
0596-BQCEQ,62,None,Yes,No,Yes,"Fiber Optic"
0599-XNYDO,20,None,Yes,No,Yes,"Fiber Optic"
0601-WZHJF,14,"Offer D",No,No,Yes,DSL
0602-DDUML,57,None,Yes,No,Yes,Cable
0603-OLQDC,12,"Offer D",Yes,No,Yes,Cable
0603-TPMIB,59,"Offer B",Yes,Yes,No,None
0604-THJFP,59,"Offer B",Yes,No,Yes,DSL
0607-DAAHE,53,"Offer B",Yes,No,No,None
0607-MVMGC,45,None,Yes,Yes,Yes,DSL
0608-JDVEC,50,"Offer B",Yes,No,No,None
0611-DFXKO,20,"Offer D",Yes,No,Yes,"Fiber Optic"
0612-RTZZA,1,"Offer E",No,No,Yes,DSL
0613-WUXUM,70,None,Yes,No,No,None
0616-ATFGB,1,"Offer E",No,No,Yes,Cable
0617-AQNWT,64,None,No,No,Yes,DSL
0617-FHSGK,49,None,Yes,Yes,Yes,"Fiber Optic"
0618-XWMSS,28,"Offer C",Yes,No,Yes,"Fiber Optic"
0619-OLYUR,72,None,Yes,Yes,Yes,"Fiber Optic"
0620-DLSLK,13,None,Yes,No,Yes,"Fiber Optic"
0620-XEFWH,4,"Offer E",Yes,No,No,None
0621-CXBKL,53,"Offer B",Yes,No,No,None
0621-HJWXJ,63,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0621-JFHOL,10,"Offer D",No,No,Yes,Cable
0621-TSSMU,56,None,Yes,No,No,None
0621-TWIEM,10,"Offer D",Yes,No,Yes,Cable
0623-EJQEG,65,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0623-GDISB,1,None,Yes,No,Yes,Cable
0623-IIHUG,21,None,No,No,Yes,Cable
0625-AFOHS,29,"Offer C",Yes,No,No,None
0626-QXNGV,72,None,Yes,Yes,No,None
0628-CNQRM,22,None,Yes,No,Yes,Cable
0634-SZPQA,23,None,Yes,Yes,Yes,"Fiber Optic"
0635-WKOLD,40,"Offer B",Yes,Yes,Yes,DSL
0637-KVDLV,2,"Offer E",Yes,Yes,Yes,"Fiber Optic"
0637-UBJRP,13,"Offer D",Yes,No,Yes,"Fiber Optic"
0637-YLETY,16,"Offer D",Yes,Yes,Yes,"Fiber Optic"
0639-TSIQW,67,"Offer A",Yes,Yes,Yes,"Fiber Optic"
0640-YJTPY,72,"Offer A",Yes,No,No,None
0641-EVBOJ,3,None,Yes,No,Yes,"Fiber Optic"
0643-OKLRP,47,None,Yes,Yes,Yes,"Fiber Optic"
0644-OQMDK,4,"Offer E",Yes,No,Yes,"Fiber Optic"
0650-BWOZN,18,None,Yes,No,Yes,"Fiber Optic"
